participant,item,congruency,task,IA_LABEL,totread,fpass,spass,regpath,regin,reginc,regout,regoutc,skip,accuracy,rt,order,trial_trt
1_1,18_cong,congruent,entertainment,Spillover,1209,1209,,1209,0,0,0,0,0,0,3290,2,12796
1_1,18_cong,congruent,entertainment,Coda,1412,1412,,1412,0,0,0,0,0,0,3290,2,12796
2_2,7_cong,congruent,entertainment,Context,15807,14153,661,14153,1,2,0,0,0,1,3863,1,21092
2_2,7_cong,congruent,entertainment,Target,1843,479,1364,2504,0,0,1,1,0,1,3863,1,21092
2_2,7_cong,congruent,entertainment,Spillover,1811,1811,,1811,0,0,0,0,0,1,3863,1,21092
2_2,7_cong,congruent,entertainment,Coda,1631,1631,,2624,0,0,1,1,0,1,3863,1,21092
2_2,3_cong,congruent,entertainment,Context,11893,11893,,11893,0,0,0,0,0,1,4703,1,15481
2_2,3_cong,congruent,entertainment,Target,1311,1311,,1311,0,0,0,0,0,1,4703,1,15481
2_2,3_cong,congruent,entertainment,Spillover,963,963,,963,0,0,0,0,0,1,4703,1,15481
2_2,3_cong,congruent,entertainment,Coda,1314,1314,,1314,0,0,0,0,0,1,4703,1,15481
2_2,9_cong,congruent,entertainment,Context,10325,10325,,10325,0,0,0,0,0,1,4336,1,14633
2_2,9_cong,congruent,entertainment,Target,2072,2072,,2072,0,0,0,0,0,1,4336,1,14633
2_2,9_cong,congruent,entertainment,Spillover,1310,1310,,1310,0,0,0,0,0,1,4336,1,14633
2_2,9_cong,congruent,entertainment,Coda,926,926,,926,0,0,0,0,0,1,4336,1,14633
2_2,5_cong,congruent,entertainment,Context,10822,10822,,10822,0,0,0,0,0,1,3746,1,15610
2_2,5_cong,congruent,entertainment,Target,1562,1562,,1562,0,0,0,0,0,1,3746,1,15610
2_2,5_cong,congruent,entertainment,Spillover,1839,1839,,1839,0,0,0,0,0,1,3746,1,15610
2_2,5_cong,congruent,entertainment,Coda,1387,1387,,1387,0,0,0,0,0,1,3746,1,15610
2_2,11_cong,congruent,entertainment,Context,11200,11200,,11200,0,0,0,0,0,1,4788,1,16465
2_2,11_cong,congruent,entertainment,Target,1138,1138,,1138,0,0,0,0,0,1,4788,1,16465
2_2,11_cong,congruent,entertainment,Spillover,2187,2187,,2187,0,0,0,0,0,1,4788,1,16465
2_2,11_cong,congruent,entertainment,Coda,1940,1940,,1940,0,0,0,0,0,1,4788,1,16465
2_2,4_inc,incongruent,entertainment,Context,14939,11017,91,11017,1,2,0,0,0,1,3619,1,21113
2_2,4_inc,incongruent,entertainment,Target,2488,1584,904,1584,0,0,0,0,0,1,3619,1,21113
2_2,4_inc,incongruent,entertainment,Spillover,1651,579,946,1616,1,1,1,1,0,1,3619,1,21113
2_2,4_inc,incongruent,entertainment,Coda,2035,1508,527,6896,0,0,1,2,0,1,3619,1,21113
2_2,12_inc,incongruent,entertainment,Context,13507,9896,130,9896,1,4,0,0,0,1,8853,1,21840
2_2,12_inc,incongruent,entertainment,Target,4110,1433,588,1433,1,2,0,0,0,1,8853,1,21840
2_2,12_inc,incongruent,entertainment,Spillover,2424,594,1528,2840,0,0,1,1,0,1,8853,1,21840
